id,interest_area,major,short_description,career_paths,prerequisites
365,Management,Business Analytics,"Business Analytics is a major that combines data science, statistics, and business knowledge to provide insights that help make strategic decisions. Students learn to interpret complex data, predict trends, and improve business processes.","Data Analyst, Business Intelligence Analyst, Market Research Analyst, Operations Analyst, Financial Analyst, Management Consultant, Supply Chain Analyst, Project Manager","{""IB"":[""IB Mathematics HL"",""IB Business Management HL"",""IB Computer Science HL"",""IB Economics HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Economics"",""A-Level Business Studies"",""A-Level Computer Science""],""AP"":[""AP Calculus AB"",""AP Calculus BC"",""AP Statistics"",""AP Computer Science A"",""AP Microeconomics"",""AP Macroeconomics""],""MYP"":[""MYP Mathematics Extended"",""MYP Design Technology"",""MYP Business and Management""],""GCSE"":[""GCSE Mathematics"",""GCSE Business Studies"",""GCSE Economics"",""GCSE Computer Science""],""CBSE"":[""CBSE Mathematics"",""CBSE Business Studies"",""CBSE Economics"",""CBSE Informatics Practices""]}"
366,Management,Healthcare Management,"Healthcare Management is a specialized field of study that focuses on the organization, management, and administration of healthcare systems, hospitals, and other healthcare facilities. This major prepares students to handle the business aspects of medical services, ensuring efficient delivery of healthcare services.","Healthcare Administrator, Hospital CEO, Health Services Manager, Clinical Manager, Health Information Manager, Policy Analyst, Consultant in Healthcare Management, Nursing Home Administrator","{""IB"":[""IB Biology HL"",""IB Business Management HL"",""IB Mathematics SL""],""A-Levels"":[""A-Level Biology"",""A-Level Business Studies"",""A-Level Mathematics""],""AP"":[""AP Biology"",""AP Calculus AB"",""AP Statistics"",""AP Psychology""],""MYP"":[""MYP Sciences"",""MYP Mathematics"",""MYP Individuals and Societies""],""GCSE"":[""GCSE Biology"",""GCSE Mathematics"",""GCSE Business Studies""],""CBSE"":[""CBSE Biology"",""CBSE Business Studies"",""CBSE Mathematics""]}"
367,Management,Entrepreneurship,"The Entrepreneurship major focuses on equipping students with the skills and knowledge to start, manage, and grow their own businesses, as well as innovate within existing companies. This program emphasizes practical experience, business planning, strategic decision-making, and understanding market dynamics.","Business Owner, Startup Founder, Business Consultant, Venture Capital Analyst, Product Manager, Marketing Manager, Business Development Officer, Corporate Innovator","{""IB"":[""IB Business Management HL"",""IB Economics HL"",""IB Mathematics SL"",""IB Information Technology in a Global Society SL""],""A-Levels"":[""A-Level Business Studies"",""A-Level Economics"",""A-Level Mathematics"",""A-Level Further Mathematics""],""AP"":[""AP Microeconomics"",""AP Macroeconomics"",""AP Calculus AB"",""AP Statistics"",""AP Computer Science A""],""MYP"":[""MYP Design"",""MYP Individuals and Societies"",""MYP Mathematics"",""MYP Business Management""],""GCSE"":[""GCSE Business Studies"",""GCSE Mathematics"",""GCSE Economics"",""GCSE Information and Communication Technology""],""CBSE"":[""CBSE Business Studies"",""CBSE Economics"",""CBSE Mathematics"",""CBSE Informatics Practices""]}"
368,Management,Industrial Management,"Industrial Management is a specialized field of study that focuses on the optimization of complex processes or systems within an industrial setting, integrating engineering and management principles. It prepares students to improve efficiency, productivity, and managerial processes in industries such as manufacturing, technology, and logistics.","Operations Manager, Supply Chain Analyst, Quality Control Manager, Project Manager, Industrial Production Manager, Business Consultant, Facilities Manager, Lean Coordinator","{""IB"":[""IB Business Management HL"",""IB Mathematics HL"",""IB Physics SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Business Studies"",""A-Level Physics""],""AP"":[""AP Calculus AB"",""AP Statistics"",""AP Physics 1"",""AP Microeconomics""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Physical and Earth Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Business Studies"",""GCSE Physics""],""CBSE"":[""CBSE Business Studies"",""CBSE Mathematics"",""CBSE Physics""]}"
369,Management,E-commerce,"The E-commerce major focuses on the principles and technologies for conducting business over the internet. It combines aspects of business management, information technology, and digital marketing to prepare students for the evolving online marketplace.","E-commerce Manager, Digital Marketing Specialist, Business Analyst, Web Developer, Supply Chain Manager, Data Analyst, SEO Specialist, Product Manager","{""IB"":[""IB Business Management HL"",""IB Information Technology in a Global Society HL"",""IB Mathematics AI SL"",""IB Economics SL""],""A-Levels"":[""A-Level Business Studies"",""A-Level Computer Science"",""A-Level Mathematics"",""A-Level Economics""],""AP"":[""AP Computer Science A"",""AP Calculus AB"",""AP Microeconomics"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Business and Management""],""GCSE"":[""GCSE Business Studies"",""GCSE Mathematics"",""GCSE Information and Communication Technology""],""CBSE"":[""CBSE Business Studies"",""CBSE Information Technology"",""CBSE Mathematics"",""CBSE Economics""]}"
370,Management,Strategic Management,"Strategic Management is a college major that focuses on the development of skills necessary for students to understand, analyze, and implement strategies within business and organizational contexts. It covers areas such as competitive strategy, corporate governance, and operational strategy, equipping students to become effective leaders and decision-makers in various business environments.","Management Consultant, Business Strategist, Corporate Development Officer, Strategic Planner, Operations Manager, Entrepreneur, Business Analyst, Project Manager","{""IB"":[""IB Business Management HL"",""IB Economics HL"",""IB Mathematics SL"",""IB Mathematics HL""],""A-Levels"":[""A-Level Business Studies"",""A-Level Economics"",""A-Level Mathematics"",""A-Level Further Mathematics""],""AP"":[""AP Microeconomics"",""AP Macroeconomics"",""AP Calculus AB"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Individuals and Societies""],""GCSE"":[""GCSE Business Studies"",""GCSE Mathematics"",""GCSE Economics""],""CBSE"":[""CBSE Business Studies"",""CBSE Economics"",""CBSE Mathematics"",""CBSE Accountancy""]}"
371,Management,Sustainability Management,"Sustainability Management is a multidisciplinary major that combines principles of environmental science, economics, and business management to address and solve sustainability issues related to natural resources and environmental conservation. The program equips students with the skills needed to develop sustainable business practices and contribute to global sustainability efforts.","Sustainability Consultant, Environmental Policy Maker, Corporate Sustainability Officer, Renewable Energy Manager, Waste Management Director, Green Building Coordinator, Environmental Auditor, Corporate Social Responsibility Manager","{""IB"":[""IB Environmental Systems and Societies SL"",""IB Business Management HL"",""IB Economics HL"",""IB Geography HL"",""IB Biology HL""],""A-Levels"":[""A-Level Geography"",""A-Level Business Studies"",""A-Level Environmental Science"",""A-Level Economics""],""AP"":[""AP Environmental Science"",""AP Human Geography"",""AP Statistics"",""AP Economics""],""MYP"":[""MYP Design"",""MYP Sciences"",""MYP Mathematics"",""MYP Individuals and Societies""],""GCSE"":[""GCSE Geography"",""GCSE Business Studies"",""GCSE Mathematics"",""GCSE Science""],""CBSE"":[""CBSE Business Studies"",""CBSE Economics"",""CBSE Geography"",""CBSE Biology""]}"
372,Management,Nonprofit Management,"The major in Nonprofit Management focuses on equipping students with the necessary skills and knowledge to effectively manage and lead nonprofit organizations. Students learn about fundraising, grant writing, volunteer management, and strategic planning specific to the nonprofit sector.","Nonprofit Executive Director, Program Director, Fundraising Manager, Grant Writer, Volunteer Coordinator, Social Media Manager, Community Outreach Coordinator, Policy Analyst","{""IB"":[""IB Business Management HL"",""IB Economics HL"",""IB Social and Cultural Anthropology SL"",""IB Global Politics HL""],""A-Levels"":[""A-Level Business Studies"",""A-Level Sociology"",""A-Level Economics"",""A-Level Mathematics""],""AP"":[""AP Macroeconomics"",""AP Microeconomics"",""AP Statistics"",""AP Psychology""],""MYP"":[""MYP Individuals and Societies"",""MYP Mathematics"",""MYP Design""],""GCSE"":[""GCSE Business Studies"",""GCSE Mathematics"",""GCSE Sociology""],""CBSE"":[""CBSE Business Studies"",""CBSE Economics"",""CBSE Mathematics"",""CBSE Accountancy""]}"
373,Management,Real Estate Management,"Real Estate Management is a college major that focuses on the principles and practices involved in the management, operation, marketing, and financing of real estate properties. The program equips students with skills in property development, asset management, and investment analysis.","Real Estate Broker, Property Manager, Real Estate Appraiser, Commercial Leasing Manager, Real Estate Investment Consultant, Facility Manager, Urban Planner, Real Estate Attorney","{""IB"":[""IB Business Management HL"",""IB Economics HL"",""IB Mathematics SL"",""IB Geography SL""],""A-Levels"":[""A-Level Business Studies"",""A-Level Mathematics"",""A-Level Economics"",""A-Level Geography""],""AP"":[""AP Calculus AB"",""AP Statistics"",""AP Microeconomics"",""AP Macroeconomics""],""MYP"":[""MYP Mathematics"",""MYP Individuals and Societies"",""MYP Design""],""GCSE"":[""GCSE Mathematics"",""GCSE Business Studies"",""GCSE Geography"",""GCSE Economics""],""CBSE"":[""CBSE Business Studies"",""CBSE Mathematics"",""CBSE Economics"",""CBSE Accountancy""]}"
374,Management,Business Law,"Business Law is a specialized major focusing on the intersection of business practices and legal regulations. It equips students with the understanding of corporate law, commercial transactions, and legal implications affecting business decisions.","Corporate Lawyer, Legal Consultant, Compliance Officer, Contract Manager, Business Advisor, Human Resources Manager, Intellectual Property Rights Manager","{""IB"":[""IB Business Management HL"",""IB Economics HL"",""IB Mathematics SL"",""IB English A: Language and Literature HL""],""A-Levels"":[""A-Level Business Studies"",""A-Level Law"",""A-Level Economics"",""A-Level Mathematics""],""AP"":[""AP Macroeconomics"",""AP Microeconomics"",""AP Calculus AB"",""AP English Language and Composition""],""MYP"":[""MYP Individuals and Societies"",""MYP Mathematics"",""MYP Language and Literature""],""GCSE"":[""GCSE Business Studies"",""GCSE Law"",""GCSE English Language"",""GCSE Mathematics""],""CBSE"":[""CBSE Business Studies"",""CBSE Economics"",""CBSE Legal Studies"",""CBSE English"",""CBSE Mathematics""]}"
375,Engineering,Mechanical Engineering,"Mechanical Engineering is a diverse field of study that focuses on the design, analysis, manufacturing, and maintenance of mechanical systems. It integrates principles of engineering physics and mathematics to develop solutions to real-world problems.","Mechanical Engineer, Aerospace Engineer, Automotive Engineer, Robotics Engineer, Project Manager, Energy Systems Engineer, HVAC Engineer, Product Design Engineer","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Design Technology SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Further Mathematics""],""AP"":[""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Physics C: Electricity and Magnetism""],""MYP"":[""MYP Design"",""MYP Physical and Earth Sciences"",""MYP Mathematics""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Design and Technology""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Chemistry""]}"
376,Engineering,Electrical Engineering,"Electrical Engineering is a field of engineering that primarily deals with the study and application of electricity, electronics, and electromagnetism. This major equips students with the skills to design, develop, and manage electrical systems and components used in a wide range of industries.","Electrical Engineer, Systems Engineer, Control Engineer, Power Engineer, Telecommunications Engineer, Instrumentation Engineer, Project Manager, Research and Development Engineer","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Computer Science SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Physics""],""AP"":[""AP Calculus BC"",""AP Physics C: Electricity and Magnetism"",""AP Computer Science A""],""MYP"":[""MYP Mathematics"",""MYP Design"",""MYP Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Design and Technology""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Informatics Practices""]}"
377,Engineering,Civil Engineering,"Civil Engineering is a discipline that involves the design, construction, and maintenance of the physical and naturally built environment, including works like roads, bridges, canals, dams, and buildings. This major combines expertise in mathematics, science, and technology to solve real-world problems and improve infrastructure.","Structural Engineer, Transportation Engineer, Geotechnical Engineer, Water Resources Engineer, Environmental Engineer, Construction Manager, Urban Planner, Project Engineer","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Design Technology SL"",""IB Environmental Systems and Societies SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Further Mathematics"",""A-Level Geography""],""AP"":[""AP Calculus AB"",""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Physics C: Electricity and Magnetism"",""AP Environmental Science""],""MYP"":[""MYP Mathematics Extended"",""MYP Design"",""MYP Physical and Earth Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Geography"",""GCSE Design and Technology""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Chemistry"",""CBSE Engineering Graphics""]}"
378,Engineering,Chemical Engineering,"Chemical Engineering is the application of chemical, physical, and biological sciences along with mathematics and economics to efficiently use, produce, design, transport, and transform energy and materials. This major prepares students for critical roles in industries ranging from energy to pharmaceuticals, enhancing operational efficiencies and developing sustainable processes.","Process Engineer, Safety Engineer, Energy Manager, Biotechnologist, Environmental Engineer, Quality Control Engineer, Petrochemical Engineer, Research Scientist","{""IB"":[""IB Chemistry HL"",""IB Mathematics HL"",""IB Physics SL"",""IB Biology SL""],""A-Levels"":[""A-Level Chemistry"",""A-Level Mathematics"",""A-Level Physics"",""A-Level Further Mathematics""],""AP"":[""AP Chemistry"",""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Biology""],""MYP"":[""MYP Sciences"",""MYP Mathematics""],""GCSE"":[""GCSE Chemistry"",""GCSE Mathematics"",""GCSE Physics"",""GCSE Biology""],""CBSE"":[""CBSE Chemistry"",""CBSE Mathematics"",""CBSE Physics"",""CBSE Biology""]}"
379,Engineering,Computer Engineering,"Computer Engineering integrates principles from both electrical engineering and computer science to develop hardware and software solutions. This major focuses on the design, implementation, and management of information systems and hardware processes critical in various tech-driven fields.","Software Engineer, Hardware Engineer, Systems Analyst, Network Architect, Embedded Systems Engineer, Data Scientist, Robotics Engineer","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Computer Science HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Physics""],""AP"":[""AP Calculus BC"",""AP Physics C: Electricity and Magnetism"",""AP Computer Science A""],""MYP"":[""MYP Extended Mathematics"",""MYP Design"",""MYP Physical and Earth Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Computer Science""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Computer Science""]}"
380,Engineering,Aerospace Engineering,"Aerospace Engineering is a dynamic field that focuses on the design, development, and testing of aircraft and spacecraft. It combines elements of mechanical, electrical, and materials engineering to solve complex problems related to systems that operate within the Earth's atmosphere and beyond.","Aerospace Engineer, Flight Systems Test Engineer, Satellite Systems Engineer, Aircraft Designer, Propulsion Engineer, Avionics Engineer, Spacecraft Operations Director, Defense Systems Analyst","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Chemistry SL"",""IB Design Technology HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Further Mathematics"",""A-Level Chemistry""],""AP"":[""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Physics C: Electricity and Magnetism"",""AP Chemistry""],""MYP"":[""MYP Design"",""MYP Physical and Earth Sciences"",""MYP Mathematics"",""MYP Technology""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Chemistry"",""GCSE Design and Technology""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Chemistry"",""CBSE Engineering Graphics""]}"
381,Engineering,Biomedical Engineering,"Biomedical Engineering is an interdisciplinary field that combines principles from engineering and the biological sciences to develop technologies and systems aimed at improving healthcare. This major focuses on the design and development of devices, software, and systems for medical applications.","Biomedical engineer, Clinical engineer, Medical technology developer, Research scientist, Quality assurance/Regulatory affairs specialist, Healthcare consultant, Technical sales engineer, Biomechanics engineer","{""IB"":[""IB Mathematics HL"",""IB Biology HL"",""IB Physics HL"",""IB Chemistry SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Biology"",""A-Level Physics"",""A-Level Chemistry""],""AP"":[""AP Calculus BC"",""AP Biology"",""AP Chemistry"",""AP Physics C: Mechanics""],""MYP"":[""MYP Sciences"",""MYP Mathematics""],""GCSE"":[""GCSE Mathematics"",""GCSE Biology"",""GCSE Chemistry"",""GCSE Physics""],""CBSE"":[""CBSE Physics"",""CBSE Chemistry"",""CBSE Biology"",""CBSE Mathematics""]}"
382,Engineering,Environmental Engineering,"Environmental Engineering focuses on developing solutions to environmental problems and improving the health of the natural world. This major combines principles from biology, chemistry, physics, and mathematics to address issues such as water and air pollution, waste management, and sustainable design.","Environmental Consultant, Water Project Manager, Air Quality Inspector, Waste Management Engineer, Sustainability Specialist, Environmental Health and Safety Director, Public Health Engineer, Renewable Energy Engineer","{""IB"":[""IB Mathematics HL"",""IB Chemistry HL"",""IB Biology SL"",""IB Environmental Systems and Societies SL"",""IB Physics HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Chemistry"",""A-Level Biology"",""A-Level Physics"",""A-Level Environmental Science""],""AP"":[""AP Calculus AB"",""AP Environmental Science"",""AP Chemistry"",""AP Biology"",""AP Physics C: Mechanics""],""MYP"":[""MYP Sciences"",""MYP Mathematics"",""MYP Design"",""MYP Physical and Health Education""],""GCSE"":[""GCSE Mathematics"",""GCSE Chemistry"",""GCSE Biology"",""GCSE Physics""],""CBSE"":[""CBSE Physics"",""CBSE Chemistry"",""CBSE Biology"",""CBSE Mathematics""]}"
383,Engineering,Industrial Engineering,"Industrial Engineering focuses on optimizing complex processes, systems, or organizations by developing, improving, and implementing integrated systems of people, money, knowledge, information, equipment, energy, and materials. This major combines principles and techniques used in engineering, mathematics, and social sciences to achieve these goals.","Operations Manager, Quality Assurance Engineer, Systems Analyst, Production Planner, Supply Chain Analyst, Process Engineer, Project Manager, Human Factors Engineer","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Design Technology SL"",""IB Business Management HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Further Mathematics"",""A-Level Economics""],""AP"":[""AP Calculus BC"",""AP Statistics"",""AP Physics C: Mechanics"",""AP Computer Science A""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Design and Technology"",""GCSE Business Studies""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Chemistry"",""CBSE Economics""]}"
384,Engineering,Robotics Engineering,"Robotics Engineering is a field of engineering that combines electronic, mechanical, and software engineering to design, construct, operate, and use robots. This major equips students with the skills to create automated systems and the software interfaces that control them.","Robotics Engineer, Automation Engineer, Software Developer for Robotics, Systems Designer, Research Scientist, Robotics Technician, Artificial Intelligence Specialist, Aerospace Robotics Engineer","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Computer Science HL"",""IB Design Technology HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Physics"",""A-Level Computer Science""],""AP"":[""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Computer Science A"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Computer Science"",""GCSE Design and Technology""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Informatics Practices"",""CBSE Engineering Graphics""]}"
